hora	Domingo	Lunes	Martes	Miércoles	Jueves	Viernes	Sábado
0	778	671	649	689	634	627	725
1	388	278	164	153	193	185	270
2	422	224	210	142	159	202	253
3	353	214	158	140	155	191	241
4	327	232	189	185	167	171	240
5	367	342	334	416	360	379	375
6	293	342	309	343	346	345	276
7	250	302	324	332	321	309	289
8	268	270	339	327	361	340	311
9	313	317	361	352	338	367	307
10	348	373	428	467	407	417	440
11	344	398	406	434	462	428	456
12	85	138	151	174	152	148	140
13	273	351	370	369	361	334	352
14	327	398	398	398	391	364	417
15	390	437	456	416	402	419	428
16	368	425	421	435	456	459	470
17	422	445	454	499	457	447	426
18	475	636	669	647	712	628	583
19	684	927	972	996	1080	1011	821
20	718	994	997	1101	1082	1010	883
21	637	756	853	780	839	798	725
22	508	479	465	461	505	570	582
23	410	294	289	317	289	397	528
