Fecha,Cantidad
2015-01-01,55
2015-01-02,50
2015-01-03,60
2015-01-04,63
2015-01-05,77
2015-01-06,69
2015-01-07,86
2015-01-08,70
2015-01-09,70
2015-01-10,86
2015-01-11,69
2015-01-12,62
2015-01-13,85
2015-01-14,83
2015-01-15,84
2015-01-16,90
2015-01-17,70
2015-01-18,74
2015-01-19,77
2015-01-20,64
2015-01-21,90
2015-01-22,82
2015-01-23,84
2015-01-24,77
2015-01-25,62
2015-01-26,90
2015-01-27,84
2015-01-28,89
2015-01-29,76
2015-01-30,81
2015-01-31,69
2015-02-01,70
2015-02-02,86
2015-02-03,84
2015-02-04,75
2015-02-05,63
2015-02-06,72
2015-02-07,67
2015-02-08,67
2015-02-09,105
2015-02-10,84
2015-02-11,72
2015-02-12,73
2015-02-13,81
2015-02-14,81
2015-02-15,79
2015-02-16,90
2015-02-17,79
2015-02-18,75
2015-02-19,58
2015-02-20,68
2015-02-21,79
2015-02-22,60
2015-02-23,61
2015-02-24,84
2015-02-25,70
2015-02-26,84
2015-02-27,100
2015-02-28,72
2015-03-01,69
2015-03-02,64
2015-03-03,55
2015-03-04,73
2015-03-05,104
2015-03-06,78
2015-03-07,73
2015-03-08,58
2015-03-09,66
2015-03-10,56
2015-03-11,79
2015-03-12,63
2015-03-13,79
2015-03-14,64
2015-03-15,55
2015-03-16,74
2015-03-17,85
2015-03-18,78
2015-03-19,67
2015-03-20,71
2015-03-21,63
2015-03-22,60
2015-03-23,38
2015-03-24,66
2015-03-25,84
2015-03-26,55
2015-03-27,70
2015-03-28,75
2015-03-29,67
2015-03-30,44
2015-03-31,61
2015-04-01,83
2015-04-02,47
2015-04-03,24
2015-04-04,65
2015-04-05,62
2015-04-06,79
2015-04-07,81
2015-04-08,95
2015-04-09,73
2015-04-10,76
2015-04-11,93
2015-04-12,77
2015-04-13,78
2015-04-14,59
2015-04-15,61
2015-04-16,63
2015-04-17,59
2015-04-18,42
2015-04-19,35
2015-04-20,60
2015-04-21,78
